iter	Passed	Remaining
806	1627	389
807	1629	387
808	1630	385
809	1632	382
810	1634	380
811	1635	378
812	1636	376
813	1638	374
814	1641	372
815	1642	370
816	1644	368
817	1645	366
818	1646	363
819	1647	361
820	1649	359
821	1650	357
822	1651	355
823	1653	353
824	1656	351
825	1658	349
826	1659	347
827	1661	345
828	1662	342
829	1663	340
830	1665	338
831	1666	336
832	1667	334
833	1669	332
834	1672	330
835	1673	328
836	1674	326
837	1676	324
838	1677	321
839	1678	319
840	1680	317
841	1681	315
842	1682	313
843	1683	311
844	1686	309
845	1687	307
846	1688	305
847	1689	302
848	1691	300
849	1692	298
850	1693	296
851	1695	294
852	1697	292
853	1698	290
854	1700	288
855	1701	286
856	1702	284
857	1703	281
858	1705	279
859	1706	277
860	1707	275
861	1710	273
862	1712	271
863	1713	269
864	1714	267
865	1715	265
866	1716	263
867	1718	261
868	1719	259
869	1720	257
870	1721	255
871	1725	253
872	1726	251
873	1727	249
874	1729	247
875	1730	244
876	1732	242
877	1733	240
878	1734	238
879	1736	236
880	1739	234
881	1740	232
882	1741	230
883	1743	228
884	1744	226
885	1745	224
886	1746	222
887	1747	220
888	1749	218
889	1750	216
890	1751	214
891	1754	212
892	1756	210
893	1757	208
894	1758	206
895	1760	204
896	1761	202
897	1762	200
898	1763	198
899	1765	196
900	1766	194
901	1768	192
902	1770	190
903	1771	188
904	1772	186
905	1773	184
906	1775	182
907	1776	179
908	1777	177
909	1778	175
910	1779	173
911	1782	172
912	1784	170
913	1785	167
914	1786	165
915	1787	163
916	1788	161
917	1790	159
918	1791	157
919	1792	155
920	1793	153
921	1795	151
922	1798	150
923	1799	147
924	1800	145
925	1801	143
926	1802	141
927	1804	139
928	1805	137
929	1806	135
930	1807	133
931	1808	131
932	1812	130
933	1813	128
934	1814	126
935	1816	124
936	1817	122
937	1819	120
938	1820	118
939	1821	116
940	1822	114
941	1824	112
942	1826	110
943	1828	108
944	1829	106
945	1830	104
946	1831	102
947	1832	100
948	1833	98
949	1835	96
950	1836	94
951	1837	92
952	1841	90
953	1842	88
954	1843	86
955	1845	84
956	1846	82
957	1847	81
958	1849	79
959	1850	77
960	1851	75
961	1852	73
962	1855	71
963	1856	69
964	1858	67
965	1859	65
966	1860	63
967	1861	61
968	1862	59
969	1863	57
970	1865	55
971	1866	53
972	1867	51
973	1870	49
974	1871	47
975	1872	46
976	1874	44
977	1875	42
978	1876	40
979	1877	38
980	1879	36
981	1881	34
982	1885	32
983	1886	30
984	1888	28
985	1890	26
986	1891	24
987	1892	22
988	1893	21
989	1895	19
990	1896	17
991	1899	15
992	1900	13
993	1901	11
994	1902	9
995	1903	7
996	1905	5
997	1906	3
998	1907	1
999	1908	0
